last_name,first_name,rank,regiment,page
COOK,WILLIAM,Lance-Corporal,8th Argyll and Sutherland Highlanders.,19
COOPER,ANGUS C.,Private,7th Argyll and Sutherland Highlanders.,19
COOPER,JAMES,Gunner,Royal Field Artillery.,19
COOPER,THOMAS,Driver,Royal Field Artillery.,19
COOTE,JAMES,Private,Machine Gun Corps.,19
COPELAND,JAMES,Private,Ist Seaforth Highlanders.,19
CORKER,HERBERT,Seaman,Royal Navy.,19
COWAN,JOHN,Sergeant,Royal Engineers.,19
COWLEY,CHARLES A.,Private,1st King's Own Scottish Borderers.,19
COYLE,JAMES,Private,6th Seaforth Highlanders.,19
COYLE,SAMUEL,Private,5th Argyll and Sutherland Highlanders.,19
CRAIG,DUGALD,Private,5th Argyll and Sutherland Highlanders.,19
CRANSTON,WILLIAM,Lieutenant,Royal Engineers.,19
CRAWFORD,ARTHUR,Private,10th Argyll and Sutherland Highlanders.,19
CRAWFORD,GEORGE R.,Private,5th Argyll and Sutherland Highlanders.,19
CRAWFORD,HENRY,Seaman,Royal Naval Volunteer Reserve.,19
CRAWFORD,JAMES,2nd Lieutenant,6th Cameron Highlanders.,19
CRAWFORD,JAMES,Private,2nd Highland Light Infantry.,19
CRAWFORD,JAMES,Private,5th Argyll and Sutherland Highlanders.,19
CRAWFORD,JOHN,Private,5th Argyll and Sutherland Highlanders.,19
CRAWFORD,ROBERT,2nd Lieutenant,2nd Royal Scots Fusiliers.,19
CRERAR,IAN D.,2nd Lieutenant,5th Argyll and Sutherland Highlanders.,19
CROMAR,T. A.,Private,2nd Argyll and Sutherland Highlanders.,19
CROOKSTON,WILLIAM J.,2nd Lieutenant,8th Border Regiment.,19
CULLEN,JAMES,Private,Gordon Highlanders.,19
CUMMING,JOHN,Private,11th Argyll and Sutherland Highlanders.,19
CUNNINGHAM,FRANCIS,Private,5th Argyll and Sutherland Highlanders.,19
CUNNINGHAM,SAMUEL,Private,2nd Cameron Highlanders.,19
CURRAN,JOHN,Private,Gordon Highlanders.,19
CURRAN,PATRICK,Seaman,Royal Navy.,19
CURRIE,ADAM,Private,Ist Scots Guards.,19
CURRIE,JACK,Drummer,5th Argyll and Sutherland Highlanders.,19
CURRIE,JAMES,Private,39th Seaforth Highlanders.,19
CURRIE,JOHN,Gunner,Royal Field Artillery.,19
CURRIE,JOHN,Private,10th Argyll and Sutherland Highlanders.,19
CUTHBERT,GILBERT,Engineer,Transport Service.,19
CUTT,THOMAS,Private,Gordon Highlanders.,19
D'ARCY,HENRY,Private,11th Lancashire Fusiliers.,19
DARROCH,ARCHIBALD,Captain,Royal Naval Volunteer Reserve.,19
DARROCH,DONALD,Private,9th Royal Scots.,19
DARROCH,JAMES,Private,Gordon Highlanders.,19
DAVIES,ROBERT,Private,14th Argyll and Sutherland Highlanders.,19
